Unit,Plot,Direction,ID,number,horizon,MT,Treatment,Root.wt.g,Bulk density,pH,per.C,per.N,GWC,Biomass
2,5,SE,1,1,B,EcM,Cut,0.8826,0.519770978,5.32,3.103303043,0.195509817,0.21120752,135.894328
1,10,N,2,3,B,EcM,Control,0.2779,0.502497172,5.11,3.053725481,0.15306357,0.2173618,69.13496764
1,10,W,3,4,B,EcM,Control,0.1643,0.904472746,5.31,2.307466581,0.095150782,0.16329753,53.18854163
1,10,E,4,5,B,EcM,Control,0.4856,0.743538695,5.17,2.93433662,0.177146899,0.04674392,60.98712081
2,9,E,94,6,B,AM,Cut,0.2074,0.626675881,5.33,3.492013193,0.204301119,0.26567621,222.1937808
2,9,S,5,7,B,AM,Cut,0.5699,0.769993123,5.3,4.281719627,0.280901051,0.09757504,57.6256803
2,9,W,6,8,B,AM,Cut,0.8549,0.554367569,5.26,4.145970963,0.240802827,0.22937236,152.1739625
3,5,N,92,9,B,AM,Cut,0.3945,0.508994769,5.9,7.388591846,0.567849346,0.32427051,267.5730206
3,5,S,93,10,B,AM,Cut,0.9663,0.606876524,5.17,6.820805083,0.456702515,0.28195823,311.3004822
3,5,W,7,11,B,AM,Cut,0.3397,0.630086355,5.33,6.553265432,0.444529337,0.27426534,240.0180106
4,10,N,8,12,B,AM,Control,0.2003,0.701655034,5.57,3.275954057,0.214683151,0.16060012,-85.29219672
4,10,W,9,13,B,AM,Control,0.0786,0.587171897,5.57,3.71630946,0.230623847,0.20528403,26.63663534
4,10,S,10,14,B,AM,Control,1.1357,0.590508755,5.54,3.770609566,0.259882447,0.26074028,-51.4283904
6,5,W,11,15,B,AM,Control,0.0501,0.697869449,6.08,2.405072463,0.229290125,0.20992158,57.5263497
6,5,E,12,16,B,AM,Control,0.4687,0.523412148,6.27,4.548687564,0.404320723,0.2486008,178.2037155
6,5,N,13,17,B,AM,Control,0.0254,0.507629457,5.99,5.962369294,0.498028863,0.32951471,141.6682679
8,1,N,14,18,B,AM,Cut,0.1899,0.573772772,4.99,4.171837482,0.320955289,0.18604643,130.5236647
