unit,plot,location,species,tree_number,distance_to_edge_m,id,
14,7,center,ACRU,20,13.5,1,
14,7,center,ACRU,18,16.1,2,
14,7,edge ,ACRU,12,9.2,4,
14,7,edge ,ACRU,7,9.8,3,
14,7,center,ACSA,14,11.8,5,
14,7,center,ACSA,13,11.7,6,
14,7,edge ,ACSA,7,8.3,7,
14,7,edge ,ACSA,8,8.1,8,
14,7,center,NYSY,11,9.9,9,
14,7,center,NYSY,/,/,,
14,7,edge ,NYSY,8,4,12,
14,7,edge ,NYSY,/,/,,
14,7,center,PRSE,20,15.7,16,
14,7,center,PRSE,19,16.8,14,
14,7,edge ,PRSE,9,10.2,13,
14,7,edge ,PRSE,7,4.8,15,
14,7,center,BELE,9,16.85,18,
14,7,center,BELE,18,10.9,17,
14,7,edge ,BELE,15,16.8,19,
14,7,edge ,BELE,12,12.1,20,
14,7,center,CACO,18,18.9,21,
14,7,center,CACO,11,16,22,
14,7,edge ,CACO,8,9.2,24,
14,7,edge ,CACO,3,9.5,23,
14,7,center,QURU,20,15.8,26,
14,7,center,QURU,9,17.2,25,
14,7,edge ,QURU,17,8.4,28,
14,7,edge ,QURU,13,7.9,27,
14,7,center,TIAM,8,17.8,29,
14,7,center,TIAM,10,13.5,30,
14,7,edge ,TIAM,3,7.4,32,
14,7,edge ,TIAM,18,6.8,31,
14,6,center,ACRU,14,11.9,35,
14,6,center,ACRU,1,13.9,33,
14,6,edge ,ACRU,11,4.4,36,
14,6,edge ,ACRU,5,9.4,34,
14,6,center,ACSA,19,16.4,38,
14,6,center,ACSA,20,16.2,37,
14,6,edge ,ACSA,6,4.8,39,
14,6,edge ,ACSA,17,5.65,40,
14,6,center,NYSY,19,11,41,
14,6,center,NYSY,9,7,42,
14,6,edge ,NYSY,13,4.5,43,
14,6,edge ,NYSY,20,8.4,44,
14,6,center,PRSE,8,16.6,45,
14,6,center,PRSE,2,14.1,46,
14,6,edge ,PRSE,16,4.8,47,
14,6,edge ,PRSE,20,5.9,48,
14,6,center,BELE,8,5.1,49,
14,6,center,BELE,/,/,,
14,6,edge ,BELE,18,3.3,52,
14,6,edge ,BELE,20,2.6,51,
14,6,center,CACO,3,11.2,54,
14,6,center,CACO,14,11.6,53,
14,6,edge ,CACO,8,3.2,56,
14,6,edge ,CACO,13,3.3,55,
14,6,center,QURU,16,9.8,58,
14,6,center,QURU,17,12.3,57,
14,6,edge ,QURU,1,3.1,59,
14,6,edge ,QURU,9,7.1,60,
14,6,center,TIAM,11,11.4,62,
14,6,center,TIAM,16,14.9,61,
14,6,edge ,TIAM,1,2.3,63,
14,6,edge ,TIAM,15,6.2,64,
14,5,center,ACRU,14,13,65,
14,5,center,ACRU,20,14.4,66,
14,5,edge ,ACRU,9,5.5,68,
14,5,edge ,ACRU,18,8.5,67,
14,5,center,ACSA,14,14.1,69,
14,5,center,ACSA,6,15.2,70,
14,5,edge ,ACSA,18,6.8,71,
14,5,edge ,ACSA,16,9,72,
14,5,center,NYSY,13,14,73,
14,5,center,NYSY,4,15.5,74,
14,5,edge ,NYSY,15,5.6,75,
14,5,edge ,NYSY,19,13.5,76,
14,5,center,PRSE,11,12.9,78,
14,5,center,PRSE,17,14.2,77,
14,5,edge ,PRSE,15,4.5,80,
14,5,edge ,PRSE,9,12.5,79,
14,5,center,BELE,8,12.4,81,
14,5,center,BELE,12,14.2,82,
14,5,edge ,BELE,2,10.2,83,
14,5,edge ,BELE,9,10.8,84,
14,5,center,CACO,13,14.5,86,
14,5,center,CACO,14,12.5,85,
14,5,edge ,CACO,1,6.3,88,
14,5,edge ,CACO,20,5.5,87,
14,5,center,QURU,2,11.15,90,
14,5,center,QURU,13,12.5,89,
14,5,edge ,QURU,10,8.6,92,
14,5,edge ,QURU,16,3.8,91,
14,5,center,TIAM,11,15.2,93,
14,5,center,TIAM,13,16.7,94,
14,5,edge ,TIAM,20,7.8,95,
14,5,edge ,TIAM,12,5.5,96,
2,9,center,ACRU,19,13.77,97,
2,9,center,ACRU,20,12.28,98,
2,9,edge ,ACRU,11,7.8,100,
2,9,edge ,ACRU,15,5.2,99,
2,9,center,ACSA,14,12,101,
2,9,center,ACSA,9,11.6,102,
2,9,edge ,ACSA,17,2.513,103,
2,9,edge ,ACSA,8,4.145,104,
2,9,center,NYSY,9,9.3,106,
2,9,center,NYSY,12,9.8,105,
2,9,edge ,NYSY,6,3.147,107,
2,9,edge ,NYSY,1,5.9,108,
2,9,center,PRSE,10,11.2,109,
2,9,center,PRSE,19,12.6,110,
2,9,edge ,PRSE,14,5.62,111,
2,9,edge ,PRSE,3,1.66,112,
2,9,center,BELE,14,7.7,113,
2,9,center,BELE,17,7.462,114,
2,9,edge ,BELE,15,3.979,115,
2,9,edge ,BELE,13,9.6,116,
2,9,center,CACO,20,8.2,117,
2,9,center,CACO,16,8.5,118,
2,9,edge ,CACO,10,2.645,120,
2,9,edge ,CACO,19,4.666,119,
2,9,center,QURU,13,11.456,122,
2,9,center,QURU,21,13.5,121,
2,9,edge ,QURU,16,1.344,124,
2,9,edge ,QURU,1,5.355,127,
2,9,center,TIAM,9,10.9,125,
2,9,center,TIAM,6,10.5,126,
2,9,edge ,TIAM,7,2.068,128,
2,9,edge ,TIAM,1,4.28,127,
2,5,center,ACRU,17,11,129,
2,5,center,ACRU,19,12,130,
2,5,edge ,ACRU,4,7.8,132,
2,5,edge ,ACRU,10,6.8,131,
2,5,center,ACSA,12,11.5,134,
2,5,center,ACSA,17,13,133,
2,5,edge ,ACSA,5,3.96,135,
2,5,edge ,ACSA,1,3.5,136,
2,5,center,NYSY,14,12,138,
2,5,center,NYSY,19,13.5,137,
2,5,edge ,NYSY,1,4.1,139,
2,5,edge ,NYSY,11,7.57,140,
2,5,center,PRSE,8,10,141,
2,5,center,PRSE,10,13,142,
2,5,edge ,PRSE,13,3.43,143,
2,5,edge ,PRSE,11,6.25,144,
2,5,center,BELE,18,6.7,146,
2,5,center,BELE,2,/,145,dead
2,5,edge ,BELE,4,2.36,147,
2,5,edge ,BELE,19,4.262,148,
2,5,center,CACO,15,10,149,duplicate
2,5,center,CACO,13,11.5,150,
2,5,edge ,CACO,1,4.2,152,duplicate
2,5,edge ,CACO,2,3.576,151,
2,5,center,QURU,6,9.53,154,
2,5,center,QURU,8,11,153,
2,5,edge ,QURU,15,4.5,155,
2,5,edge ,QURU,9,4.62,156,
2,5,center,TIAM,19,11.5,157,
2,5,center,TIAM,2,9.5,158,
2,5,edge ,TIAM,12,5.5,160,
2,5,edge ,TIAM,16,10.19,159,
3,5,center,ACRU,8,10.2,161,
3,5,center,ACRU,3,13.5,162,
3,5,edge ,ACRU,5,4.5,164,
3,5,edge ,ACRU,1,4.1,163,
3,5,center,ACSA,1,10.5,166,
3,5,center,ACSA,3,15.7,165,
3,5,edge ,ACSA,14,3.8,167,
3,5,edge ,ACSA,21,5.9,168,
3,5,center,NYSY,15,15.65,169,
3,5,center,NYSY,11,7.51,170,
3,5,edge ,NYSY,2,4,172,
3,5,edge ,NYSY,9,2.8,171,
3,5,center,PRSE,11,11.5,173,
3,5,center,PRSE,7,15.57,174,
3,5,edge ,PRSE,9,4.4,179,
3,5,edge ,PRSE,8,5.5,176,
3,5,center,BELE,13,10.07,178,
3,5,center,BELE,7,11.2,177,
3,5,edge ,BELE,16,10.1,179,
3,5,edge ,BELE,5,8.85,180,
3,5,center,CACO,8,11.21,181,
3,5,center,CACO,17,9.6,182,
3,5,edge ,CACO,12,6.15,183,
3,5,edge ,CACO,2,3.64,184,
3,5,center,QURU,13,12.83,185,
3,5,center,QURU,18,9.5,186,
3,5,edge ,QURU,19,6,188,
3,5,edge ,QURU,20,8.1,187,
3,5,center,TIAM,14,11.95,190,
3,5,center,TIAM,17,14.74,189,
3,5,edge ,TIAM,11,4.27,191,
3,5,edge ,TIAM,20,7.57,192,
10,5,edge ,ACRU,11,10.532,195,
10,5,center,ACRU,9,10.592,194,
10,5,center,ACRU,1,14.915,193,
10,5,edge ,ACSA,16,4.613,196,
10,5,center,ACSA,6,10.942,197,
10,5,center,ACSA,4,10.843,198,
10,5,edge ,ACSA,5,7.483,199,
10,5,edge ,ACRU,8,3.384,200,
10,5,edge ,NYSY,11,5.184,204,
10,5,edge ,NYSY,10,6.188,203,
10,5,center,NYSY,8,16.001,201,
10,5,center,NYSY,7,17.985,202,
10,5,center,PRSE,10,11.265,206,
10,5,center,PRSE,19,8.463,205,
10,5,edge ,PRSE,4,15.538,208,
10,5,edge ,PRSE,17,4.835,207,
10,5,center,BELE,13,9.706,209,
10,5,center,BELE,9,8.185,210,
10,5,edge ,BELE,4,14.393,212,
10,5,edge ,BELE,8,3.813,211,
10,5,center,CACO,16,8.789,214,
10,5,center,CACO,4,8.643,216,
10,5,edge ,CACO,20,11.165,213,
10,5,edge ,CACO,7,7.129,215,
10,5,center,QURU,11,11.383,218,
10,5,edge ,QURU,1,12.3,219,
10,5,edge ,QURU,2,7.627,220,
10,5,center,QURU,12,10.466,217,
10,5,center,TIAM,16,17.924,221,
10,5,center,TIAM,15,17.45,222,
10,5,edge ,TIAM,20,4.713,224,
10,5,edge ,TIAM,19,6.948,223,
8,1,center,ACRU,10,10.404,226,
8,1,center,ACRU,6,9.755,225,
8,1,edge ,ACRU,1,2.3,228,
8,1,edge ,ACRU,2,6.217,227,
8,1,center,ACSA,3,11.024,229,
8,1,center,ACSA,11,11,230,
8,1,edge ,ACSA,12,2.43,232,
8,1,edge ,ACSA,16,7.506,231,
8,1,center,NYSY,7,8.987,234,
8,1,center,NYSY,13,9.76,13,
8,1,edge ,NYSY,12,7.8,236,
8,1,edge ,NYSY,6,7.5,235,
8,1,center,PRSE,4,9.657,237,
8,1,center,PRSE,1,11.898,238,
8,1,edge ,PRSE,19,3,240,
8,1,edge ,PRSE,2,5.516,239,
