OurLabID,Sample ID,d13C,%C,d15N,%N,Amount (mg)
G-86584,G26-3-tw1,-21.64,47.84,2.48,1.58,10.39
G-86585,G26-3-tw2,-23.42,46.89,2.19,1.48,5.41
G-86604,26G_40,-28.62,1.29,2.37,0.44,14.38
G-86668,26G_98,-25.26,12.66,3.41,0.82,14.72
G-86678,26G_126,-25.07,10.89,3.94,0.88,14.73
G-86686,26G_149,-23.54,6.74,4.48,0.34,14.80
G-86690,26G_184,-22.76,20.77,3.32,1.71,14.52
G-86711,26G_176,-23.29,10.42,5.03,0.85,14.27
G-86731,26G_256,-25.45,8.36,4.01,0.57,14.52
G-86732,26G_253,-20.55,1.81,6.91,0.11,14.06
G-86733,26G_241,-24.48,5.97,6.05,0.48,14.14
G-86734,26G_248,-25.25,6.15,5.13,0.47,14.47
G-86735,26G_166,-23.36,14.38,4.96,1.27,14.98
G-86738,26G_150,-24.35,11.77,2.08,0.95,14.77
G-86739,26G_239,-24.20,4.80,5.74,0.36,13.11
G-86740,26G_254,-25.35,5.35,5.21,0.39,14.57
G-86743,26G_167,-25.28,9.94,3.40,0.79,14.40
G-86744,26G_240,-24.14,6.72,4.70,0.58,13.76
G-86745,26G_251,-25.10,10.35,4.20,0.90,13.96
G-86746,26G_245,-24.63,5.76,5.25,0.48,14.45
G-86747,26G_236,-23.39,4.39,6.58,0.37,14.48
G-86748,26G_238,-22.17,5.05,6.99,0.38,14.48
G-86749,26G_242,-23.74,6.33,6.49,0.50,14.55
G-86750,26G_244,-24.57,5.28,6.30,0.51,13.74
G-86751,26G_234,-22.73,4.49,6.64,0.33,13.42
G-86752,26G_231,-24.88,6.11,6.22,0.53,13.81
G-86755,26G_247,-24.16,6.91,5.26,0.65,14.80
G-86756,26G_255,-23.98,4.08,4.78,0.31,14.35
G-86757,26G_225,-24.48,3.87,7.73,0.34,14.64
G-86758,26G_237,-25.16,6.34,5.46,0.45,14.32
G-86759,26G_229,-23.22,4.19,7.11,0.37,14.99
G-86760,26G_235,-21.79,3.98,8.72,0.35,14.68
G-89654,26G_250,-21.82,3.53,7.34,0.27,14.28
