Year,Planting.date,Unit ,Plot,Species,Number,Soil,Slash,VSMxtree,HT.cm.initial,RCD.mm.initial
2020,5/17/21,10,5,ACRU,1,U,0,20.7,25,2.9
2020,5/17/21,10,5,ACRU,2,U,0,27.1,24.5,4.9
2020,5/17/21,10,5,ACRU,3,U,0,28.7,28.5,5
2020,5/17/21,10,5,ACRU,4,U,0,29.8,25.5,4.5
2020,5/17/21,10,5,ACRU,5,U,0,22.3,17,3.7
2020,5/17/21,10,5,ACRU,6,U,0,25.6,29,5.4
2020,5/17/21,10,5,ACRU,7,U,0,15.8,29,2.9
2020,5/17/21,10,5,ACRU,8,U,0,27.5,30.5,4
2020,5/17/21,10,5,ACRU,9,U,0,29.8,31,4.9
2020,5/17/21,10,5,ACRU,10,U,0,31.6,25,3.9
2020,5/17/21,10,5,ACRU,11,U,0,12.9,21.5,4.4
2020,5/17/21,10,5,ACRU,12,U,0,33.4,24.5,5.2
2020,5/17/21,10,5,ACRU,13,U,1,18.1,22,5.1
2020,5/17/21,10,5,ACRU,14,U,0,12.2,23,4.9
2020,5/17/21,10,5,ACRU,15,S,0,19.4,22.5,5.8
2020,5/17/21,10,5,ACRU,16,S,0,18.7,28,5.3
2020,5/17/21,10,5,ACRU,17,U,1,29,26,5.4
2020,5/17/21,10,5,ACRU,18,U,0,28,24.5,4.8
2020,5/17/21,10,5,ACRU,19,U,0,20,30,5.2
2020,5/17/21,10,5,ACRU,20,U,0,19.1,18,4.1
2020,5/17/21,10,5,ACSA,1,U,0,14.8,35.5,4.8
2020,5/17/21,10,5,ACSA,2,U,0,24.7,35,3.5
2020,5/17/21,10,5,ACSA,3,U,0,18.9,31.5,3.9
2020,5/17/21,10,5,ACSA,4,U,0,16.5,34,4.9
2020,5/17/21,10,5,ACSA,5,U,1,22.4,33,4.8
2020,5/17/21,10,5,ACSA,6,U,0,28.3,32,3
2020,5/17/21,10,5,ACSA,7,U,0,21.8,34,3.4
2020,5/17/21,10,5,ACSA,8,U,0,31.3,41,6.8
2020,5/17/21,10,5,ACSA,9,U,0,27.4,30.5,3.8
2020,5/17/21,10,5,ACSA,10,U,0,31.1,30.5,6.1
2020,5/17/21,10,5,ACSA,11,U,0,23.5,26.5,2.4
2020,5/17/21,10,5,ACSA,12,U,2,23.4,27,3.4
2020,5/17/21,10,5,ACSA,13,U,1,27.5,29,3.6
2020,5/17/21,10,5,ACSA,14,U,1,27.4,31.5,3
2020,5/17/21,10,5,ACSA,15,U,0,33.2,30,4.4
2020,5/17/21,10,5,ACSA,16,U,2,18.2,34,5.6
2020,5/17/21,10,5,ACSA,17,U,1,11,31,3.5
2020,5/17/21,10,5,ACSA,18,U,0,19.4,33.5,4.1
2020,5/17/21,10,5,ACSA,19,U,1,23.4,27,3.3
2020,5/17/21,10,5,ACSA,20,U,1,20.1,23.5,2.4
2020,5/17/21,10,5,NYSY,1,U,1,16.7,8,3.2
2020,5/17/21,10,5,NYSY,2,U,1,11.5,11,3.9
2020,5/17/21,10,5,NYSY,3,U,0,16.8,38,3.4
2020,5/17/21,10,5,NYSY,4,U,0,30.9,15,3
2020,5/17/21,10,5,NYSY,5,U,0,23.5,13.5,4
2020,5/17/21,10,5,NYSY,6,U,1,29.9,14,4.6
2020,5/17/21,10,5,NYSY,7,U,0,25.3,8.5,2.8
2020,5/17/21,10,5,NYSY,8,U,0,25,8.5,2.7
2020,5/17/21,10,5,NYSY,9,U,0,32.9,12,4.1
2020,5/17/21,10,5,NYSY,10,U,1,30.1,15.5,4.2
