Year,Measurement.date,Unit,Plot,Species,Number,Health,Herbivory,Condition,HT.cm,RCD.mm
2022,9/12/22,10,5,ACRU,1,L,1,0,51,5.8
2022,9/12/22,10,5,ACRU,2,D,0,0,,
2022,9/12/22,10,5,ACRU,3,L,1,0,72,9.9
2022,9/12/22,10,5,ACRU,4,L,1,0,50,7.1
2022,9/12/22,10,5,ACRU,5,L,1,0,146,11.4
2022,9/12/22,10,5,ACRU,6,L,1,0,116,11
2022,9/12/22,10,5,ACRU,7,D,0,0,,
2022,9/12/22,10,5,ACRU,8,L,0,0,122,10.4
2022,9/12/22,10,5,ACRU,9,L,1,0,139,9
2022,9/12/22,10,5,ACRU,10,L,1,0,43.5,5.9
2022,9/12/22,10,5,ACRU,11,L,1,0,74,12.9
2022,9/12/22,10,5,ACRU,12,L,2,0,102,13.9
2022,9/12/22,10,5,ACRU,13,L,1,0,43,8.4
2022,9/12/22,10,5,ACRU,14,L,1,0,56,10.3
2022,9/12/22,10,5,ACRU,15,L,2,0,50,7.5
2022,9/12/22,10,5,ACRU,16,L,1,0,80,10
2022,9/12/22,10,5,ACRU,17,L,0,0,47,7.4
2022,9/12/22,10,5,ACRU,18,L,1,0,76.5,9.3
2022,9/12/22,10,5,ACRU,19,L,1,0,122,9.4
2022,9/12/22,10,5,ACRU,20,L,1,0,104.5,9.2
2022,9/12/22,10,5,ACSA,1,L,1,0,46,6
2022,9/12/22,10,5,ACSA,2,L,2,1,70,6.3
2022,9/12/22,10,5,ACSA,3,L,1,0,92,7.4
2022,9/12/22,10,5,ACSA,4,L,1,0,13,7.2
2022,9/12/22,10,5,ACSA,5,L,0,0,57,7.3
2022,9/12/22,10,5,ACSA,6,V,1,0,42,6.8
2022,9/12/22,10,5,ACSA,7,L,1,1,51,8.3
2022,9/12/22,10,5,ACSA,8,L,1,0,94,10.5
2022,9/12/22,10,5,ACSA,9,L,1,0,49,5.9
2022,9/12/22,10,5,ACSA,10,L,1,1,38,6.6
2022,9/12/22,10,5,ACSA,11,L,1,0,23,7.6
2022,9/12/22,10,5,ACSA,12,V,1,1,31,4.3
2022,9/12/22,10,5,ACSA,13,V,2,1,56,5.5
2022,9/12/22,10,5,ACSA,14,L,1,0,48,5
2022,9/12/22,10,5,ACSA,15,L,1,1,56,6.7
2022,9/12/22,10,5,ACSA,16,D,0,0,,
2022,9/12/22,10,5,ACSA,17,V,0,1,12,3.7
2022,9/12/22,10,5,ACSA,18,L,1,1,63,89.5
2022,9/12/22,10,5,ACSA,19,L,1,0,71,9
2022,9/12/22,10,5,ACSA,20,V,0,1,32.5,3.3
2022,9/12/22,10,5,NYSY,1,D,0,0,,
2022,9/12/22,10,5,NYSY,2,L,1,0,76,6.9
2022,9/12/22,10,5,NYSY,3,L,1,0,59,5
2022,9/12/22,10,5,NYSY,4,D,0,0,,
2022,9/12/22,10,5,NYSY,5,D,0,0,,
2022,9/12/22,10,5,NYSY,6,D,0,0,,
2022,9/12/22,10,5,NYSY,7,L,1,0,64,5.3
2022,9/12/22,10,5,NYSY,8,L,1,0,55,5.5
2022,9/12/22,10,5,NYSY,9,D,0,0,,
2022,9/12/22,10,5,NYSY,10,L,1,0,73,6.6
2022,9/12/22,10,5,NYSY,11,L,0,0,50,7.5
2022,9/12/22,10,5,NYSY,12,D,0,0,,
2022,9/12/22,10,5,NYSY,13,D,0,0,,
2022,9/12/22,10,5,NYSY,14,L,0,0,19,3.6
2022,9/12/22,10,5,NYSY,15,D,0,0,,
2022,9/12/22,10,5,NYSY,16,L,0,0,22,6.6
2022,9/12/22,10,5,NYSY,17,D,0,0,,
2022,9/12/22,10,5,NYSY,18,D,0,0,,
2022,9/12/22,10,5,NYSY,19,V,2,0,77.5,7.2
2022,9/12/22,10,5,NYSY,20,D,0,0,,
2022,9/12/22,10,5,PRSE,1,V,2,0,89,7.9
2022,9/12/22,10,5,PRSE,2,L,2,0,192,21.5
2022,9/12/22,10,5,PRSE,3,V,1,0,97,9.5
2022,9/12/22,10,5,PRSE,4,V,2,0,108.5,9
2022,9/12/22,10,5,PRSE,5,L,1,0,205,20.5
2022,9/12/22,10,5,PRSE,6,L,1,0,17.8,203.5
2022,9/12/22,10,5,PRSE,7,L,2,0,115,12.5
2022,9/12/22,10,5,PRSE,8,L,2,0,123,10.5
2022,9/12/22,10,5,PRSE,9,V,2,0,142,11.5
2022,9/12/22,10,5,PRSE,10,L,2,0,114.5,14
2022,9/12/22,10,5,PRSE,11,L,2,0,142,12.7
2022,9/12/22,10,5,PRSE,12,L,0,0,154.5,13.2
2022,9/12/22,10,5,PRSE,13,L,1,0,169,17.8
2022,9/12/22,10,5,PRSE,14,V,0,0,66,9.5
2022,9/12/22,10,5,PRSE,15,D,0,0,,
2022,9/12/22,10,5,PRSE,16,L,0,1,164,14
2022,9/12/22,10,5,PRSE,17,V,3,0,67,5.8
2022,9/12/22,10,5,PRSE,18,V,2,1,87,15.2
2022,9/12/22,10,5,PRSE,19,V,2,0,76,7.8
2022,9/12/22,10,5,PRSE,20,L,2,0,165.5,19.2
2022,9/12/22,10,5,BELE,1,,0,0,,
2022,9/12/22,10,5,BELE,2,,0,0,,
2022,9/12/22,10,5,BELE,3,,0,0,,
2022,9/12/22,10,5,BELE,4,L,2,1,106,9.1
2022,9/12/22,10,5,BELE,5,,0,0,,
2022,9/12/22,10,5,BELE,6,,0,0,,
2022,9/12/22,10,5,BELE,7,,0,0,,
2022,9/12/22,10,5,BELE,8,L,3,0,155,12.6
2022,9/12/22,10,5,BELE,9,L,1,0,215,17.4
2022,9/12/22,10,5,BELE,10,,0,0,,
2022,9/12/22,10,5,BELE,11,,0,0,,
2022,9/12/22,10,5,BELE,12,,0,0,,
2022,9/12/22,10,5,BELE,13,L,1,0,139,11
2022,9/12/22,10,5,BELE,14,,0,0,,
2022,9/12/22,10,5,BELE,15,,0,0,,
2022,9/12/22,10,5,BELE,16,,0,0,,
2022,9/12/22,10,5,BELE,17,,0,0,,
2022,9/12/22,10,5,BELE,18,,0,0,,
2022,9/12/22,10,5,BELE,19,,0,0,,
2022,9/12/22,10,5,BELE,20,,0,0,,
2022,9/12/22,10,5,BELE,21,,0,0,,
2022,9/12/22,10,5,CACO,1,L,1,0,24,2.6
2022,9/12/22,10,5,CACO,2,L,1,0,25,3.4
2022,9/12/22,10,5,CACO,3,D,0,0,,
2022,9/12/22,10,5,CACO,4,L,2,0,48,8.3
2022,9/12/22,10,5,CACO,5,L,1,0,21,3.5
2022,9/12/22,10,5,CACO,6,L,1,0,64,5
2022,9/12/22,10,5,CACO,7,L,0,0,29,5
2022,9/12/22,10,5,CACO,8,L,1,0,29.5,4.5
2022,9/12/22,10,5,CACO,9,L,1,0,25.5,9.5
2022,9/12/22,10,5,CACO,10,L,1,0,33,3.1
2022,9/12/22,10,5,CACO,11,L,1,0,40,7
2022,9/12/22,10,5,CACO,12,L,1,0,21.5,3.4
2022,9/12/22,10,5,CACO,13,D,0,0,,
2022,9/12/22,10,5,CACO,14,L,1,0,40,4.3
2022,9/12/22,10,5,CACO,15,V,2,0,39,2.4
2022,9/12/22,10,5,CACO,16,L,1,0,37,3.6
2022,9/12/22,10,5,CACO,17,L,1,0,24,3.6
2022,9/12/22,10,5,CACO,18,V,1,0,18,1.8
2022,9/12/22,10,5,CACO,19,V,1,0,31,4
2022,9/12/22,10,5,CACO,20,L,0,0,28,4.9
2022,9/12/22,10,5,QURU,1,L,1,0,94,7.9
2022,9/12/22,10,5,QURU,2,L,2,0,71,8
2022,9/12/22,10,5,QURU,3,L,1,0,44,9.4
2022,9/12/22,10,5,QURU,4,L,1,0,86,11.5
2022,9/12/22,10,5,QURU,5,L,1,0,49,7
2022,9/12/22,10,5,QURU,6,V,0,1,25.5,5
2022,9/12/22,10,5,QURU,7,L,1,0,85,6.7
2022,9/12/22,10,5,QURU,8,L,2,1,54.5,8
2022,9/12/22,10,5,QURU,9,L,1,0,47,6
2022,9/12/22,10,5,QURU,10,L,1,0,76,9.4
2022,9/12/22,10,5,QURU,11,L,1,0,50,9.6
2022,9/12/22,10,5,QURU,12,,0,0,,
2022,9/12/22,10,5,QURU,13,L,1,0,35,6.5
2022,9/12/22,10,5,QURU,14,D,0,0,,
2022,9/12/22,10,5,QURU,15,L,1,0,36.5,4.7
2022,9/12/22,10,5,QURU,16,L,2,0,62,8.5
2022,9/12/22,10,5,QURU,17,L,1,0,44.5,6.1
2022,9/12/22,10,5,QURU,18,L,1,0,42,5.5
2022,9/12/22,10,5,QURU,19,D,0,0,,
2022,9/12/22,10,5,QURU,20,V,1,0,22,7.3
2022,9/12/22,10,5,TIAM,1,L,1,0,91,11.8
2022,9/12/22,10,5,TIAM,2,L,1,0,86,10
2022,9/12/22,10,5,TIAM,3,V,0,1,19,5.6
2022,9/12/22,10,5,TIAM,4,L,1,0,42,6
2022,9/12/22,10,5,TIAM,5,V,3,0,31,5.2
2022,9/12/22,10,5,TIAM,6,L,1,0,50.5,9.9
2022,9/12/22,10,5,TIAM,7,D,0,0,,
2022,9/12/22,10,5,TIAM,8,L,1,0,28,6.7
2022,9/12/22,10,5,TIAM,9,L,2,0,46,8
2022,9/12/22,10,5,TIAM,10,L,0,0,71,7.5
2022,9/12/22,10,5,TIAM,11,V,0,0,30,6.1
2022,9/12/22,10,5,TIAM,12,L,1,0,22,3.6
2022,9/12/22,10,5,TIAM,13,V,1,0,18,4.2
2022,9/12/22,10,5,TIAM,14,L,1,0,45,9.3
2022,9/12/22,10,5,TIAM,15,L,1,0,48,9.3
2022,9/12/22,10,5,TIAM,16,V,1,0,27,4.8
2022,9/12/22,10,5,TIAM,17,L,0,0,36,7.2
2022,9/12/22,10,5,TIAM,18,L,1,0,20,5.6
2022,9/12/22,10,5,TIAM,19,L,2,1,79,12.4
2022,9/12/22,10,5,TIAM,20,L,2,0,59.5,10.3
2022,9/12/22,8,1,ACRU,1,L,1,0,82,8.7
2022,9/12/22,8,1,ACRU,2,L,1,0,97,12
2022,9/12/22,8,1,ACRU,3,L,1,0,138.5,12.3
2022,9/12/22,8,1,ACRU,4,L,1,0,62,6.6
2022,9/12/22,8,1,ACRU,5,V,1,0,85,9.2
2022,9/12/22,8,1,ACRU,6,L,1,0,87.5,4.8
2022,9/12/22,8,1,ACRU,7,L,1,0,86,10.2
2022,9/12/22,8,1,ACRU,8,L,1,0,79,7.3
2022,9/12/22,8,1,ACRU,9,L,1,0,93,10.6
2022,9/12/22,8,1,ACRU,10,L,1,0,49,4.1
2022,9/12/22,8,1,ACRU,11,L,1,0,93.5,11.6
2022,9/12/22,8,1,ACRU,12,L,2,0,97.5,6
2022,9/12/22,8,1,ACRU,13,V,2,1,73,11.5
2022,9/12/22,8,1,ACRU,14,L,1,0,94,15
2022,9/12/22,8,1,ACRU,15,L,1,0,94,11.3
2022,9/12/22,8,1,ACRU,16,L,1,0,83,8.1
2022,9/12/22,8,1,ACRU,17,L,1,0,202.5,9.2
2022,9/12/22,8,1,ACRU,18,L,1,0,50,6.3
2022,9/12/22,8,1,ACRU,19,L,1,0,85,9.5
2022,9/12/22,8,1,ACRU,20,L,2,0,79.5,10.7
2022,9/12/22,8,1,ACSA,1,L,1,0,48,7.6
2022,9/12/22,8,1,ACSA,2,L,1,0,127,17
2022,9/12/22,8,1,ACSA,3,V,2,0,55,5.5
2022,9/12/22,8,1,ACSA,4,V,1,0,32,1.7
2022,9/12/22,8,1,ACSA,5,V,1,0,53,5
2022,9/12/22,8,1,ACSA,6,L,1,0,63,7.4
2022,9/12/22,8,1,ACSA,7,L,0,0,55,7.6
2022,9/12/22,8,1,ACSA,8,L,1,0,96,11.6
2022,9/12/22,8,1,ACSA,9,D,0,0,,
2022,9/12/22,8,1,ACSA,10,D,0,0,,
2022,9/12/22,8,1,ACSA,11,L,1,0,71,6.7
2022,9/12/22,8,1,ACSA,12,V,1,1,9.5,0.7
2022,9/12/22,8,1,ACSA,13,L,1,0,39,5.1
2022,9/12/22,8,1,ACSA,14,L,1,0,73,7.4
2022,9/12/22,8,1,ACSA,15,L,1,0,44,4.6
2022,9/12/22,8,1,ACSA,16,L,1,0,60,5.4
2022,9/12/22,8,1,ACSA,17,L,2,0,102,5.3
2022,9/12/22,8,1,ACSA,18,V,1,0,54.5,0.4
2022,9/12/22,8,1,ACSA,19,L,1,0,129,10.3
2022,9/12/22,8,1,ACSA,20,L,1,0,69,7.4
2022,9/12/22,8,1,NYSY,1,L,1,0,106,7.9
2022,9/12/22,8,1,NYSY,2,L,1,0,159,18.3
2022,9/12/22,8,1,NYSY,3,L,0,0,73.5,4.8
2022,9/12/22,8,1,NYSY,4,D,0,0,,
2022,9/12/22,8,1,NYSY,5,V,0,0,71,10
2022,9/12/22,8,1,NYSY,6,L,1,1,39,9
2022,9/12/22,8,1,NYSY,7,L,3,0,80.5,5.9
2022,9/12/22,8,1,NYSY,8,L,0,0,73.5,4.8
2022,9/12/22,8,1,NYSY,9,D,0,0,,
2022,9/12/22,8,1,NYSY,10,D,0,0,,
2022,9/12/22,8,1,NYSY,11,D,0,0,,
2022,9/12/22,8,1,NYSY,12,L,0,0,64,4.9
2022,9/12/22,8,1,NYSY,13,L,0,1,52,3.2
2022,9/12/22,8,1,NYSY,14,L,2,0,57,7.8
2022,9/12/22,8,1,NYSY,15,D,0,0,,
2022,9/12/22,8,1,NYSY,16,D,0,0,,
2022,9/12/22,8,1,NYSY,17,D,0,0,,
2022,9/12/22,8,1,NYSY,18,D,0,0,,
2022,9/12/22,8,1,NYSY,19,D,0,0,,
2022,9/12/22,8,1,NYSY,20,D,0,0,,
2022,9/12/22,8,1,PRSE,1,L,1,0,123,16.2
2022,9/12/22,8,1,PRSE,2,L,1,0,125,17.2
2022,9/12/22,8,1,PRSE,3,L,1,0,152,17.5
2022,9/12/22,8,1,PRSE,4,L,1,0,183,17.1
2022,9/12/22,8,1,PRSE,5,L,0,0,235,24
2022,9/12/22,8,1,PRSE,6,L,1,1,172.5,13.1
2022,9/12/22,8,1,PRSE,7,L,1,0,226.5,24.9
2022,9/12/22,8,1,PRSE,8,L,2,0,54,4
2022,9/12/22,8,1,PRSE,9,L,1,0,211,10.3
2022,9/12/22,8,1,PRSE,10,D,0,0,,
2022,9/12/22,8,1,PRSE,11,L,2,0,138,10.2
2022,9/12/22,8,1,PRSE,12,L,1,0,205,18.6
2022,9/12/22,8,1,PRSE,13,L,1,0,141,13.6
2022,9/12/22,8,1,PRSE,14,V,1,0,111,6.7
2022,9/12/22,8,1,PRSE,15,L,1,0,137,16.1
2022,9/12/22,8,1,PRSE,16,L,1,1,116,13.3
2022,9/12/22,8,1,PRSE,17,L,3,0,100,12.1
2022,9/12/22,8,1,PRSE,18,L,1,0,150,18.7
2022,9/12/22,8,1,PRSE,19,L,1,0,73,7.5
2022,9/12/22,8,1,PRSE,20,V,3,0,87,7.6
2022,9/12/22,8,1,BELE,1,D,0,0,,
2022,9/12/22,8,1,BELE,2,D,0,0,,
2022,9/12/22,8,1,BELE,3,D,0,0,,
2022,9/12/22,8,1,BELE,4,L,2,1,96,6.7
2022,9/12/22,8,1,BELE,5,D,0,0,,
2022,9/12/22,8,1,BELE,6,D,0,0,,
2022,9/12/22,8,1,BELE,7,D,0,0,,
2022,9/12/22,8,1,BELE,8,D,0,0,,
2022,9/12/22,8,1,BELE,9,D,0,0,,
2022,9/12/22,8,1,BELE,10,D,0,0,,
2022,9/12/22,8,1,BELE,11,V,3,1,58,7.1
2022,9/12/22,8,1,BELE,12,D,0,0,,
2022,9/12/22,8,1,BELE,13,L,1,0,82,5.8
2022,9/12/22,8,1,BELE,14,D,0,0,,
2022,9/12/22,8,1,BELE,15,D,0,0,,
2022,9/12/22,8,1,BELE,16,D,0,0,,
2022,9/12/22,8,1,BELE,17,D,0,0,,
2022,9/12/22,8,1,BELE,18,D,0,0,,
2022,9/12/22,8,1,BELE,19,D,0,0,,
2022,9/12/22,8,1,BELE,20,L,1,0,135,15.6
2022,9/12/22,8,1,CACO,1,D,0,0,,
2022,9/12/22,8,1,CACO,2,L,0,0,79.5,3.5
2022,9/12/22,8,1,CACO,3,L,0,0,18,1.6
2022,9/12/22,8,1,CACO,4,D,0,0,,
2022,9/12/22,8,1,CACO,5,D,0,0,,
2022,9/12/22,8,1,CACO,6,D,0,0,,
2022,9/12/22,8,1,CACO,7,D,0,0,,
2022,9/12/22,8,1,CACO,8,V,2,0,29.5,3.3
2022,9/12/22,8,1,CACO,9,V,1,1,13,2
2022,9/12/22,8,1,CACO,10,L,1,0,16.5,1
2022,9/12/22,8,1,CACO,11,V,1,0,10.5,9
2022,9/12/22,8,1,CACO,12,L,0,1,24,7.1
2022,9/12/22,8,1,CACO,13,L,1,0,17,2.4
2022,9/12/22,8,1,CACO,14,D,0,0,,
2022,9/12/22,8,1,CACO,15,D,0,0,,
2022,9/12/22,8,1,CACO,16,L,0,1,29.5,4.7
2022,9/12/22,8,1,CACO,17,L,0,0,39,4.6
2022,9/12/22,8,1,CACO,18,D,0,0,,
2022,9/12/22,8,1,CACO,19,L,1,1,18.5,2.5
2022,9/12/22,8,1,CACO,20,L,0,1,38,6.7
2022,9/12/22,8,1,QURU,1,L,0,1,57,8.7
2022,9/12/22,8,1,QURU,2,L,1,0,71,9
2022,9/12/22,8,1,QURU,3,L,1,0,100,20.3
2022,9/12/22,8,1,QURU,4,L,1,0,77,13.2
2022,9/12/22,8,1,QURU,5,L,1,0,82,13.3
2022,9/12/22,8,1,QURU,6,L,1,0,75,10.5
2022,9/12/22,8,1,QURU,7,L,1,0,61.5,6.4
2022,9/12/22,8,1,QURU,8,L,0,1,38,6.6
2022,9/12/22,8,1,QURU,9,L,1,0,92.5,10.3
2022,9/12/22,8,1,QURU,10,L,1,0,60,6.7
2022,9/12/22,8,1,QURU,11,L,1,0,69,16.9
2022,9/12/22,8,1,QURU,12,L,1,0,87.5,14.5
2022,9/12/22,8,1,QURU,13,L,1,0,72.5,8.6
2022,9/12/22,8,1,QURU,14,L,1,0,65.5,8.6
2022,9/12/22,8,1,QURU,15,L,1,0,91.5,9.9
2022,9/12/22,8,1,QURU,16,L,1,0,88,9.1
2022,9/12/22,8,1,QURU,17,L,1,0,153,15.7
2022,9/12/22,8,1,QURU,18,L,1,1,67,8.8
2022,9/12/22,8,1,QURU,19,L,1,0,48,9.4
2022,9/12/22,8,1,QURU,20,L,2,0,72,8.9
2022,9/12/22,8,1,TIAM,1,L,1,1,71.5,8.6
2022,9/12/22,8,1,TIAM,2,V,2,0,50,9.5
2022,9/12/22,8,1,TIAM,3,L,1,0,34,7.6
2022,9/12/22,8,1,TIAM,4,L,1,0,19,7.4
2022,9/12/22,8,1,TIAM,5,L,2,1,86.5,10.4
2022,9/12/22,8,1,TIAM,6,L,1,0,97,11.6
2022,9/12/22,8,1,TIAM,7,L,2,0,41,6.6
2022,9/12/22,8,1,TIAM,8,L,1,0,116,11.5
2022,9/12/22,8,1,TIAM,9,L,1,0,54.5,6.3
2022,9/12/22,8,1,TIAM,10,L,1,0,40,6.5
2022,9/12/22,8,1,TIAM,11,L,1,0,35,8
2022,9/12/22,8,1,TIAM,12,L,2,1,31,9
2022,9/12/22,8,1,TIAM,13,L,1,0,77,18.6
2022,9/12/22,8,1,TIAM,14,L,1,0,139,16.5
2022,9/12/22,8,1,TIAM,15,V,3,1,60,12
2022,9/12/22,8,1,TIAM,16,L,2,0,48.5,12.1
2022,9/12/22,8,1,TIAM,17,L,1,0,51.5,6.2
2022,9/12/22,8,1,TIAM,18,L,0,0,41.5,5.2
2022,9/12/22,8,1,TIAM,19,L,1,0,37,7.9
2022,9/12/22,8,1,TIAM,20,D,0,0,,
2022,9/12/22,3,5,ACRU,1,L,1,0,73,8.2
2022,9/12/22,3,5,ACRU,2,V,1,1,37.5,6.2
2022,9/12/22,3,5,ACRU,3,L,1,0,71.5,9.1
2022,9/12/22,3,5,ACRU,4,D,0,0,,
2022,9/12/22,3,5,ACRU,5,L,1,0,21.5,7.6
2022,9/12/22,3,5,ACRU,6,D,0,0,,
2022,9/12/22,3,5,ACRU,7,D,0,0,,
2022,9/12/22,3,5,ACRU,8,L,1,0,116,12
2022,9/12/22,3,5,ACRU,9,L,0,0,115,11.9
2022,9/12/22,3,5,ACRU,10,L,1,0,66.5,9.8
2022,9/12/22,3,5,ACRU,11,L,0,0,98.5,15.3
2022,9/12/22,3,5,ACRU,12,L,1,1,114,12.4
2022,9/12/22,3,5,ACRU,13,L,1,0,36.5,5.5
2022,9/12/22,3,5,ACRU,14,L,1,0,45.5,5.8
2022,9/12/22,3,5,ACRU,15,L,1,0,49,10.5
2022,9/12/22,3,5,ACRU,16,L,2,0,87,14
2022,9/12/22,3,5,ACRU,17,V,2,1,48.5,7
2022,9/12/22,3,5,ACRU,18,L,1,0,73,8.2
2022,9/12/22,3,5,ACRU,19,L,2,1,40.5,8.3
2022,9/12/22,3,5,ACRU,20,L,2,0,86,11.4
2022,9/12/22,3,5,ACSA,1,L,0,1,21,7.1
2022,9/12/22,3,5,ACSA,2,L,1,0,45.5,8.5
2022,9/12/22,3,5,ACSA,3,V,1,0,47.5,6
2022,9/12/22,3,5,ACSA,4,L,1,0,56,6.1
2022,9/12/22,3,5,ACSA,5,D,0,0,,
2022,9/12/22,3,5,ACSA,6,L,1,0,21.5,4.4
2022,9/12/22,3,5,ACSA,7,L,2,1,38,7.3
2022,9/12/22,3,5,ACSA,8,D,0,0,,
2022,9/12/22,3,5,ACSA,9,V,0,0,44,4.7
2022,9/12/22,3,5,ACSA,10,D,0,0,,
2022,9/12/22,3,5,ACSA,11,F,0,0,81.5,5.1
2022,9/12/22,3,5,ACSA,12,F,1,0,38.5,4.5
2022,9/12/22,3,5,ACSA,13,L,0,1,51,7.4
2022,9/12/22,3,5,ACSA,14,L,1,0,38.5,6.1
2022,9/12/22,3,5,ACSA,15,D,0,0,,
2022,9/12/22,3,5,ACSA,16,L,0,1,17,3.5
2022,9/12/22,3,5,ACSA,17,L,2,1,39,7.5
2022,9/12/22,3,5,ACSA,18,L,2,1,82.5,2.7
2022,9/12/22,3,5,ACSA,19,V,3,0,37,5.8
2022,9/12/22,3,5,ACSA,20,V,3,0,51,7
2022,9/12/22,3,5,ACSA,21,L,1,0,46,4.9
2022,9/12/22,3,5,NYSY,1,L,1,0,61,6.1
2022,9/12/22,3,5,NYSY,2,L,1,1,18.5,2.4
2022,9/12/22,3,5,NYSY,3,L,1,0,26,4.8
2022,9/12/22,3,5,NYSY,4,,0,0,,
2022,9/12/22,3,5,NYSY,5,,0,0,,
2022,9/12/22,3,5,NYSY,6,,0,0,,
2022,9/12/22,3,5,NYSY,7,,0,0,,
2022,9/12/22,3,5,NYSY,8,L,2,1,46.5,7.8
2022,9/12/22,3,5,NYSY,9,V,2,0,20,3.9
2022,9/12/22,3,5,NYSY,10,L,0,0,26,7.9
2022,9/12/22,3,5,NYSY,11,L,1,0,43,9.2
2022,9/12/22,3,5,NYSY,12,L,0,0,17,4.5
