"PC1","PC2","NH4","NO3","PO4","dir_code","moisture","Season","Year","MT","Treatment","Site","date","ID2","time_f","time","CN","pH"
-2.06684859217728,-1.5767289583015,0.19,0.499,2.09,"c",18.1,"Fall",2020,"EcM","Control","1_1","Fall.2020","1_1_c","0",1,22.7521666866549,4.32333333333333
-2.34900241249154,0.174229497158899,0.308,0.059,0,"c",12.3,"Fall",2021,"EcM","Control","1_1","Fall.2021","1_1_c","7",8,22.7521666866549,4.32333333333333
-2.65954459777804,-0.700708813982654,0.511,0.043,0.1,"c",12.3,"Summer",2021,"EcM","Control","1_1","Summer.2021","1_1_c","3",4,22.7521666866549,4.32333333333333
-2.08170376628979,1.63089348314296,1e-04,0,0.00059,"c",9.3,"Summer",2022,"EcM","Control","1_1","Summer.2022","1_1_c","15",16,22.7521666866549,4.32333333333333
-1.71232020961415,-0.279832148145389,0.229,0.535,0.21,"b",12.3,"Fall",2020,"EcM","Control","1_1","Fall.2020","1_1_b","0",1,25.1884486531508,4.73333333333333
-1.40123010145105,0.183845701787644,0.139,0.142,0,"b",21.3,"Fall",2021,"EcM","Control","1_1","Fall.2021","1_1_b","7",8,25.1884486531508,4.73333333333333
-1.40775973131734,0.442733312389415,0.096,0.039,0.03,"b",21.3,"Summer",2021,"EcM","Control","1_1","Summer.2021","1_1_b","3",4,25.1884486531508,4.73333333333333
-1.76886249554946,1.45812246795328,5e-04,0.00027,0.00376,"b",10,"Summer",2022,"EcM","Control","1_1","Summer.2022","1_1_b","15",16,25.1884486531508,4.73333333333333
-2.1288817108518,-0.254996639616306,0.352,0.022,0,"a",16.1,"Fall",2021,"EcM","Control","1_1","Fall.2021","1_1_a","7",8,24.7414421206772,4.59
-2.56758866172591,-1.63019503939128,0.678,0.057,0.03,"a",16.1,"Summer",2021,"EcM","Control","1_1","Summer.2021","1_1_a","3",4,24.7414421206772,4.59
-1.92806502041583,1.51034732129667,0.0011,0.00025,0.0055,"a",9.6,"Summer",2022,"EcM","Control","1_1","Summer.2022","1_1_a","15",16,24.7414421206772,4.59
-2.65429596175785,-5.7793077569597,0.457,0.456,6.97,"b",10.9,"Fall",2020,"EcM","Control","1_10","Fall.2020","1_10_b","0",1,21.4014885394609,4.99333333333333
-1.28090962660165,0.584213079194082,0.214,0.027,0,"b",10.9,"Fall",2021,"EcM","Control","1_10","Fall.2021","1_10_b","7",8,21.4014885394609,4.99333333333333
-1.19602721988154,0.843052236362869,0.132,0.015,0.12,"b",10.9,"Summer",2021,"EcM","Control","1_10","Summer.2021","1_10_b","3",4,21.4014885394609,4.99333333333333
-1.10665982779419,1.59609143628753,0.0016,6e-05,0.00114,"b",8.4,"Summer",2022,"EcM","Control","1_10","Summer.2022","1_10_b","15",16,21.4014885394609,4.99333333333333
-0.998865092770241,0.193790819174433,0.16,0.516,0.201,"a",9.7,"Fall",2020,"EcM","Control","1_10","Fall.2020","1_10_a","0",1,21.93695994881,5.04
-0.781120608532587,0.516666861850653,0.118,0.031,0,"a",19.4,"Fall",2021,"EcM","Control","1_10","Fall.2021","1_10_a","7",8,21.93695994881,5.04
-0.931288289248018,0.0363179398763349,0.212,0.039,0.13,"a",19.4,"Summer",2021,"EcM","Control","1_10","Summer.2021","1_10_a","3",4,21.93695994881,5.04
