Unit,Plot,Species,Number,Ht_cm,rcd_mm,Herbivory,Condition,health
10,5,ACRU,1,71.50,7.30,1,,L
10,5,ACRU,2,,,,,D
10,5,ACRU,3,88.50,16.70,0,,L
10,5,ACRU,4,63.00,8.70,1,,L
10,5,ACRU,5,213.00,15.80,1,,L
10,5,ACRU,6,203.50,15.60,1,,L
10,5,ACRU,7,,,,,D
10,5,ACRU,8,201.50,13.50,1,,L
10,5,ACRU,9,153.00,11.10,1,,L
10,5,ACRU,10,41.50,6.60,1,,L
10,5,ACRU,11,133.50,15.80,0,,L
10,5,ACRU,12,112.00,17.90,2,,L
10,5,ACRU,13,75.00,10.60,1,,L
10,5,ACRU,14,76.50,12.90,1,,L
10,5,ACRU,15,53.00,7.60,2,,L
10,5,ACRU,16,100.00,12.70,1,,L
10,5,ACRU,17,52.00,8.10,1,,L
10,5,ACRU,18,81.00,11.80,3,,L
10,5,ACRU,19,181.00,15.10,,,L
10,5,ACRU,20,163.50,15.10,1,,L
10,5,ACSA,1,50.00,10.40,1,,L
10,5,ACSA,2,72.00,8.40,0,,L
10,5,ACSA,3,134.00,9.30,1,,L
10,5,ACSA,4,23.50,8.60,1,,L
10,5,ACSA,5,74.00,11.50,1,,L
10,5,ACSA,6,49.00,6.80,1,,V
10,5,ACSA,7,76.00,11.70,1,,L
10,5,ACSA,8,102.00,15.20,2,,L
10,5,ACSA,9,68.00,9.40,2,,L
10,5,ACSA,10,38.00,7.20,1,,L
10,5,ACSA,11,27.00,4.10,1,,L
10,5,ACSA,12,44.00,5.20,0,,V
10,5,ACSA,13,101.00,13.10,3,,V
10,5,ACSA,14,56.00,6.90,1,,L
10,5,ACSA,15,53.50,7.60,1,,L
10,5,ACSA,16,18.00,5.30,0,,D
10,5,ACSA,17,,,,,V
10,5,ACSA,18,87.00,10.40,1,,L
10,5,ACSA,19,86.00,6.00,,,L
10,5,ACSA,20,35.00,10.70,1,,V
10,5,NYSY,1,,,,,D
10,5,NYSY,2,78.00,8.50,1,,L
10,5,NYSY,3,71.00,4.90,1,,L
10,5,NYSY,4,,,,,D
10,5,NYSY,5,,,,,D
10,5,NYSY,6,,,,,D
10,5,NYSY,7,124.00,6.70,1,,L
10,5,NYSY,8,81.00,5.40,1,,L
10,5,NYSY,9,,,,,D
10,5,NYSY,10,109.00,8.60,1,,L
10,5,NYSY,11,68.00,7.10,1,,L
10,5,NYSY,12,,,,,D
10,5,NYSY,13,,,,,D
10,5,NYSY,14,,,,,L
10,5,NYSY,15,,,,,D
10,5,NYSY,16,23.00,5.70,1,,L
10,5,NYSY,17,,,,,D
10,5,NYSY,18,23.00,4.20,1,,D
10,5,NYSY,19,51.00,7.20,1,,V
10,5,NYSY,20,,,,,D
10,5,PRSE,1,89.00,16.20,1,,V
10,5,PRSE,2,274.00,32.70,1,,L
10,5,PRSE,3,187.00,15.80,2,,V
10,5,PRSE,4,108.00,11.10,1,,V
10,5,PRSE,5,268.00,31.10,1,,L
10,5,PRSE,6,321.00,30.30,1,,L
10,5,PRSE,7,219.00,20.80,2,,L
10,5,PRSE,8,190.00,15.90,2,,L
10,5,PRSE,9,202.00,16.60,1,,V
10,5,PRSE,10,220.00,24.30,1,,L
10,5,PRSE,11,226.00,27.50,1,,L
10,5,PRSE,12,212.00,23.80,1,,L
10,5,PRSE,13,278.00,33.10,1,,L
10,5,PRSE,14,48.00,7.00,3,,V
10,5,PRSE,15,246.00,27.50,1,,D
10,5,PRSE,16,90.00,5.90,1,,L
10,5,PRSE,17,96.50,9.70,1,,V
10,5,PRSE,18,106.00,13.30,1,,V
10,5,PRSE,19,173.00,13.70,1,,V
10,5,PRSE,20,309.00,34.00,1,,L
10,5,BELE,1,,,,,
10,5,BELE,2,,,,,
10,5,BELE,3,,,,,
10,5,BELE,4,174.00,20.00,1,,L
10,5,BELE,5,,,,,
10,5,BELE,6,,,,,
10,5,BELE,7,,,,,
10,5,BELE,8,101.00,12.00,2,T,L
10,5,BELE,9,297.00,25.40,2,,L
10,5,BELE,10,,,,,
10,5,BELE,11,,,,,
10,5,BELE,12,,,,,
10,5,BELE,13,221.00,22.50,1,,L
