year,unit,plot,species,number,ht_cm_initial,rcd_mm_initial,ht_cm,rcd_mm,herbivory,condition,health,status,height_change,rcd_change,id,location,leaf_d13c,lead_percent_c,leaf_d15n,leaf_percent_n,leaf_sample_weight,distance_to_edge_m,soil_d13c,soil_percent_c,soil_d15n,soil_percent_n,site_unit,mycorrhizal_legacy,myc_type,foliar_15n_enrichment,sggw,planting_date,time_months,biomass,biomass_initial,biomass_growth,n15_s,leafn_s,herbivory_s
2021,10,5,acru,8,30.5,4,50,7.6,1,0,l,1,19.5,3.5999999999999996,200,edge,-29.66,50.56,-0.46,1.68,2.775,3.384,-25.07,7.28,4.12,0.54,10_5,am,am,-4.58,0.49,2021-05-17,3.2666666666666666,14.811589333333334,2.5027893333333338,0.5442869675998683,-0.5245128969567522,-0.4722183456088838,-0.21123743556638713
2021,10,5,acru,9,31,4.9,43.5,6.4,1,0,l,1,12.5,1.5,194,center,-29.54,50.38,1.34,1.94,2.772,10.592,-24.97,6.17,3.99,0.37,10_5,am,am,-2.6500000000000004,0.49,2021-05-17,3.2666666666666666,9.13805312,3.8173178866666677,0.2672140726859947,0.369643987542549,0.004061804055080715,-0.21123743556638713
2021,10,5,acru,11,21.5,4.4,42,6.2,2,0,l,1,20.5,1.7999999999999998,195,edge,-30.61,50.1,1.06,1.55,2.386,10.532,-25.68,12.16,4.09,0.96,10_5,am,am,-3.03,0.49,2021-05-17,3.2666666666666666,8.280129760000001,2.1347562133333344,0.414950873082677,0.19359237297792,-0.710358420440866,1.2717800244409287
2021,10,5,acsa,5,33,4.8,45,5.3,1,0,l,1,12,0.5,199,edge,-29.01,49.56,0.96,1.4,2.141,7.483,-24.73,7.31,4.77,0.53,10_5,am,am,-3.81,0.56,2021-05-17,3.2666666666666666,7.409018400000003,4.456488960000001,0.15561328579356173,-0.16777673060210863,-0.9851354298623841,-0.21123743556638713
2021,10,5,nysy,7,8.5,2.8,27,3.8,1,0,l,1,18.5,1,202,center,-29.73,46.78,1.21,1.64,2.803,17.985,-24.26,7.66,4.58,0.57,10_5,am,am,-3.37,0.46,2021-05-17,3.2666666666666666,1.8771422400000002,0.3208493866666666,0.5407757147787007,0.036072507314830506,-0.5454922147879554,-0.21123743556638713
2021,10,5,nysy,8,8.5,2.7,22,3.2,0,0,l,1,13.5,0.5,201,center,-33.7,46.2,1.64,2.3,2.207,16.001,-25.11,6.48,3.745,0.435,10_5,am,am,-2.1050000000000004,0.46,2021-05-17,3.2666666666666666,1.0846481066666669,0.29834082000000006,0.3951350092202571,0.6221390663260304,0.6635266266667237,-1.694254895573703
2021,10,5,nysy,10,15.5,4.2,22.5,5.6,1,0,l,1,7,1.3999999999999995,203,edge,-31.68,47.05,2.44,1.89,2.419,6.188,-24.18,8.09,6.6,0.65,10_5,am,am,-4.16,0.46,2021-05-17,3.2666666666666666,3.3972287999999993,1.3164261600000005,0.29021615209859225,-0.329929533490583,-0.0875305324187587,-0.21123743556638713
2021,10,5,nysy,11,18,5.4,16,6.1,1,0,l,1,-2,0.6999999999999993,204,edge,-30.93,46.48,1.93,1.92,2.44,5.184,-24.32,6.62,5.16,0.48,10_5,am,am,-3.2300000000000004,0.46,2021-05-17,3.2666666666666666,2.8664599466666667,2.52712224,0.0385703876209256,0.1009336284702201,-0.03257513053445505,-0.21123743556638713
2021,10,5,prse,10,19.5,2,66.5,6.1,2,0,l,1,47,4.1,206,center,-30.46,47.91,0.25,2.81,2.487,11.265,-24.62,8.33,4.34,0.63,10_5,am,am,-4.09,0.47,2021-05-17,3.2666666666666666,12.172718156666665,0.38370800000000005,1.0582869377543105,-0.297498972912888,1.5977684586998853,1.2717800244409287
2021,10,5,prse,19,18.5,4.7,50,5.7,1,0,l,1,31.5,1,205,center,-29.63,47.74,-0.28,2.2,2.574,8.463,-24.64,11.16,6.12,0.92,10_5,am,am,-6.4,0.47,2021-05-17,3.2666666666666666,7.991457000000003,2.0103593566666675,0.4224672262018928,-1.3677074719768187,0.48034195371904564,-0.21123743556638713
